make;model;version;year_manufacture;year_model;km;price;location
Volkswagen;Voyage;1.0 12V MPI TOTALFLEX 4P MANUAL;2020;2021;51.691km;R$ 60.990;Guarapuava / PR
Volkswagen;Polo;1.0 200 TSI COMFORTLINE AUTOMÁTICO;2019;2020;51.692km;R$ 81.590;Maceió / AL
Volkswagen;Virtus;1.0 200 TSI COMFORTLINE AUTOMÁTICO;2020;2021;51.696km;R$ 87.880;São Paulo / SP
Volkswagen;Virtus;1.6 MSI TOTAL FLEX MANUAL;2020;2021;51.820km;R$ 77.990;São Paulo / SP
Volkswagen;Virtus;1.6 MSI TOTAL FLEX MANUAL;2020;2021;51.820km;R$ 77.990;Mauá / SP
Bmw;X1;2.0 16V TURBO ACTIVEFLEX SDRIVE20I 4P AUTOMÁTICO;2019;2020;51.822km;R$ 214.990;Curitiba / PR
Toyota;Yaris;1.3 16V FLEX XL MANUAL;2019;2020;51.868km;R$ 74.990;Rio de Janeiro / RJ
Chevrolet;Onix;1.0 FLEX PLUS LT MANUAL;2020;2021;51.911km;R$ 76.490;Mogi das Cruzes / SP
Renault;Logan;1.6 16V SCE FLEX ZEN MANUAL;2021;2022;51.911km;R$ 76.990;Jaraguá do Sul / SC
Chevrolet;Onix;1.0 FLEX PLUS LT MANUAL;2020;2021;51.911km;R$ 76.490;Santos / SP
Volkswagen;Gol;1.6 MSI TOTALFLEX 4P MANUAL;2020;2021;51.950km;R$ 58.590;Curitiba / PR
Volkswagen;Polo;1.0 200 TSI COMFORTLINE AUTOMÁTICO;2019;2020;51.977km;R$ 81.590;Mesquita / RJ
Fiat;Toro;1.8 16V EVO FLEX FREEDOM AT6;2020;2021;51.990km;R$ 159.990;Fortaleza / CE
Chevrolet;Spin;1.8 PREMIER 8V FLEX 4P AUTOMÁTICO;2020;2021;52.000km;R$ 100.520;Fortaleza / CE
Volkswagen;Tiguan;1.4 250 TSI TOTAL FLEX ALLSPACE COMFORTLINE TIPTRONIC;2019;2020;52.000km;R$ 169.990;Fortaleza / CE
Chevrolet;Onix;1.0 TURBO FLEX PLUS LTZ MANUAL;2020;2021;52.000km;R$ 82.490;Uberlândia / MG
Jeep;Renegade;1.8 16V FLEX LONGITUDE 4P AUTOMÁTICO;2020;2021;52.004km;R$ 95.990;São Bernardo do Campo / SP
Chevrolet;Onix;1.0 FLEX LT MANUAL;2020;2021;52.005km;R$ 73.990;Maringá / PR
Volkswagen;Voyage;1.0 12V MPI TOTALFLEX 4P MANUAL;2020;2021;52.061km;R$ 61.590;João pessoa / PB
Volkswagen;Tiguan;2.0 350 TSI GASOLINA ALLSPACE R-LINE 4MOTION DSG;2019;2019;52.068km;R$ 222.990;Belo Horizonte / MG
Audi;Q3;1.4 35 TFSI FLEX PRESTIGE S TRONIC;2019;2020;52.070km;R$ 202.990;Balneário Camboriú / SC
Chevrolet;Onix;1.0 TURBO FLEX PLUS LTZ AUTOMÁTICO;2020;2020;52.083km;R$ 83.990;Salvador / BA
Volkswagen;Gol;1.6 MSI TOTALFLEX 4P MANUAL;2020;2021;52.086km;R$ 58.590;Manaus / AM
Volkswagen;Tiguan;1.4 250 TSI TOTAL FLEX ALLSPACE COMFORTLINE TIPTRONIC;2019;2020;52.117km;R$ 164.990;Goiânia / GO
Fiat;Doblo;1.8 MPI ESSENCE 7L 16V FLEX 4P MANUAL;2020;2021;52.120km;R$ 91.990;São Paulo / SP
Volkswagen;Voyage;1.6 MSI TOTALFLEX 4P MANUAL;2020;2021;52.231km;R$ 63.590;Maceió / AL
Volkswagen;Voyage;1.0 12V MPI TOTALFLEX 4P MANUAL;2021;2022;52.256km;R$ 69.930;Campo Grande / MS
Volkswagen;Virtus;1.0 200 TSI COMFORTLINE AUTOMÁTICO;2020;2020;52.313km;R$ 83.490;Belo Horizonte / MG
Volkswagen;Polo;1.6 MSI TOTAL FLEX MANUAL;2019;2020;52.342km;R$ 69.990;Rio de Janeiro / RJ
Volkswagen;Voyage;1.0 12V MPI TOTALFLEX 4P MANUAL;2020;2021;52.369km;R$ 61.590;João pessoa / PB
Bmw;X1;2.0 16V TURBO ACTIVEFLEX SDRIVE20I 4P AUTOMÁTICO;2019;2020;52.499km;R$ 214.990;São Paulo / SP
Fiat;Toro;1.8 16V EVO FLEX ENDURANCE AT6;2020;2021;52.500km;R$ 105.790;São Bernardo do Campo / SP
Fiat;Toro;1.8 16V EVO FLEX ENDURANCE AT6;2020;2021;52.500km;R$ 105.790;Mauá / SP
Jeep;Compass;2.0 16V FLEX LONGITUDE AUTOMÁTICO;2019;2020;52.501km;R$ 120.990;Osasco / SP
Chevrolet;Onix;1.0 TURBO FLEX PLUS LTZ MANUAL;2020;2021;52.504km;R$ 82.490;Belo Horizonte / MG
Volkswagen;Voyage;1.0 12V MPI TOTALFLEX 4P MANUAL;2020;2021;52.557km;R$ 60.990;Guarapuava / PR
