make;model;version;year_manufacture;year_model;km;price;location
Citroen;C4 Cactus;1.6 VTI 120 FLEX FEEL EAT6;2021;2022;3.000km;94990;Rio de Janeiro / RJ
Fiat;Fiorino;1.4 MPI FURGÃO HARD WORKING 8V FLEX 2P MANUAL;2017;2018;3.847km;69990;Belo Horizonte / MG
Audi;A3;1.4 TFSI FLEX SEDAN PRESTIGE PLUS TIPTRONIC;2020;2020;5.000km;146990;São Paulo / SP
Renault;Kwid;1.0 12V SCE FLEX OUTSIDER MANUAL;2021;2022;5.270km;65990;Joinville / SC
Renault;Kwid;1.0 12V SCE FLEX ZEN MANUAL;2019;2020;6.280km;51990;São Paulo / SP
Volkswagen;Voyage;1.6 MSI TOTALFLEX 4P MANUAL;2021;2022;6.367km;73990;Belo Horizonte / MG
Jeep;Compass;2.0 16V FLEX LIMITED AUTOMÁTICO;2020;2020;6.642km;148990;Feira de Santana / BA
Jeep;Compass;2.0 16V FLEX LIMITED AUTOMÁTICO;2020;2020;6.642km;148990;Salvador / BA
Volkswagen;Voyage;1.6 MSI TOTALFLEX 4P MANUAL;2021;2022;6.800km;73990;Natal / RN
Volkswagen;T-Cross;1.0 200 TSI TOTAL FLEX AUTOMÁTICO;2021;2021;8.103km;115990;Lauro de Freitas / BA
Peugeot;208;1.6 16V FLEX ACTIVE PACK AT6;2021;2021;9.333km;79990;João pessoa / PB
Volkswagen;Delivery;Delivery Express 2.8;2021;2022;9.616km;244990;Manaus / AM
Volkswagen;Gol;1.0 12V MPI TOTALFLEX 4P MANUAL;2021;2022;9.632km;63990;Maceió / AL
Renault;Kwid;1.0 12V SCE FLEX ZEN MANUAL;2021;2022;10.065km;56490;Várzea Grande / MT
Renault;Kwid;1.0 12V SCE FLEX ZEN MANUAL;2020;2021;10.096km;53990;Osasco / SP
Renault;Kwid;1.0 12V SCE FLEX ZEN MANUAL;2020;2021;10.096km;53990;São Paulo / SP
Citroen;C4 Cactus;1.6 VTI 120 FLEX FEEL EAT6;2021;2022;10.722km;94990;Brasília / DF
Porsche;Panamera;2.9 V6 E-HYBRID 4 PDK;2021;2021;10.793km;1030.000;São Paulo / SP
Fiat;Fiorino;1.4 MPI FURGÃO HARD WORKING 8V FLEX 2P MANUAL;2018;2018;10.818km;69990;São Paulo / SP
Fiat;Fiorino;1.4 MPI FURGÃO 8V FLEX 2P MANUAL;2017;2017;11.027km;63990;João pessoa / PB
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2022;11.517km;91590;Curitiba / PR
Hyundai;Hb20;1.0 12V FLEX VISION MANUAL;2021;2022;11.745km;70990;Curitiba / PR
Audi;A3;1.4 TFSI FLEX SEDAN PRESTIGE TIPTRONIC;2020;2020;12.000km;146990;São Paulo / SP
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2022;12.327km;88990;Natal / RN
Chevrolet;Onix;1.0 TURBO FLEX PREMIER AUTOMÁTICO;2020;2020;12.501km;91990;Rio de Janeiro / RJ
Bmw;I3;ELÉTRICO eDRIVE BEV FULL AUTOMÁTICO;2020;2021;12.501km;259990;Várzea Grande / MT
Volkswagen;Voyage;1.6 MSI TOTALFLEX 4P MANUAL;2021;2022;12.545km;72590;Goiânia / GO
Fiat;Strada;1.4 MPI WORKING CS 8V FLEX 2P MANUAL;2019;2019;12.563km;61490;Belo Horizonte / MG
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2022;12.654km;91590;Recife / PE
Volkswagen;Delivery;Delivery Express 2.8;2021;2022;12.725km;244990;Londrina / PR
Volkswagen;Nivus;1.0 200 TSI TOTAL FLEX HIGHLINE AUTOMÁTICO;2021;2021;12.771km;129990;Taboão da Serra / SP
Volkswagen;Gol;1.0 12V MPI TOTALFLEX 4P MANUAL;2021;2022;12.777km;63990;João pessoa / PB
Volkswagen;Voyage;1.6 MSI TOTALFLEX 4P MANUAL;2020;2021;12.778km;65690;São Paulo / SP
Volkswagen;Voyage;1.6 MSI TOTALFLEX 4P MANUAL;2021;2021;12.778km;65690;São Paulo / SP
Fiat;Argo;1.0 FIREFLY FLEX DRIVE MANUAL;2021;2021;12.867km;64990;Maceió / AL
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2020;2021;12.968km;86540;São Paulo / SP
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2022;13.000km;91590;São Paulo / SP
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2021;13.115km;86540;Osasco / SP
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2021;13.115km;86540;Osasco / SP
Bmw;X1;2.0 16V TURBO ACTIVEFLEX SDRIVE20I GP 4P AUTOMÁTICO;2020;2021;13.217km;229990;Feira de Santana / BA
Bmw;X1;2.0 16V TURBO ACTIVEFLEX SDRIVE20I GP 4P AUTOMÁTICO;2020;2021;13.217km;229990;Salvador / BA
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2022;13.310km;91590;Feira de Santana / BA
Jeep;Compass;2.0 16V FLEX LIMITED AUTOMÁTICO;2020;2021;13.338km;165990;Recife / PE
Jeep;Renegade;1.8 16V FLEX LONGITUDE 4P AUTOMÁTICO;2019;2019;13.548km;90990;São Paulo / SP
Renault;Kwid;1.0 12V SCE FLEX ZEN MANUAL;2021;2022;13.651km;56490;João pessoa / PB
Renault;Kwid;1.0 12V SCE FLEX ZEN MANUAL;2019;2020;13.733km;51990;Santos / SP
Volkswagen;Delivery;Delivery Express 2.8;2021;2022;14.000km;244990;Rio de Janeiro / RJ
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2022;14.000km;91590;Maceió / AL
